Canadian citizens,Not Canadian citizens,Non-immigrants,Immigrants,Non-permanent residents,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Total visible minority population,Not a visible minority,"No certificate, diploma or degree",High school certificate or equivalent,"Postsecondary certificate, diploma or degree","No postsecondary certificate, diploma or degree",Education,"Visual and performing arts, and communications technologies",Humanities,Social and behavioural sciences and law,"Business, management and public administration",Physical and life sciences and technologies,"Mathematics, computer and information sciences","Architecture, engineering, and related technologies","Agriculture, natural resources and conservation","Health, parks, recreation and fitness","Personal, protective and transportation services",Other,"With postsecondary certificate, diploma or degree",English,French,Non-official language,English and French,English and non-official language,French and non-official language,"English, French and non-official language",In the labour force,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Worked at home,Worked outside Canada,No fixed workplace address,Worked at usual place,Walked or bicycled,Riding Vote
0.962668885,0.032465771,0.838864874,0.151205484,0.005064299,0.065112409,0.157897593,0.118377978,0.302863137,0.355586102,0.040423954,0.954710702,0.145869884,0.229882979,0.396462226,0.375662428,0.027039737,0.014198123,0.018900685,0.04612129,0.089077393,0.016097235,0.015373763,0.096040804,0.008591221,0.04196133,0.023060645,0,0.396462226,0.947204688,0.007053844,0.032646639,0.001356509,0.006692109,0.000180868,0,0.579952613,0.192262475,0.001358317,0.001302248,7.42E-05,0.042232632,0.001989546,0.05145689,0.460127693,0.023241513,0
0.938686362,0.048732113,0.782512411,0.197544534,0.007422369,0.048062883,0.119305461,0.12873552,0.260269639,0.443760343,0.076900613,0.910517862,0.207400467,0.255098316,0.357490509,0.462498783,0.026221649,0.012411175,0.016669911,0.03017619,0.076778935,0.008760829,0.011802784,0.086574029,0.005414679,0.053234206,0.029385282,0,0.357490509,0.879003212,0.007604887,0.085661443,0.002981116,0.01344544,0.000121678,0.000243356,0.540311983,0.27961647,0.000801859,0.000751971,7.54E-05,0.019042636,0.007118174,0.03954541,0.441022583,0.034678283,0
0.926509906,0.059299376,0.701309385,0.276616165,0.007883732,0.038390348,0.10008912,0.11414273,0.189895112,0.557345582,0.057928292,0.92788099,0.155275245,0.218002331,0.475766093,0.373277576,0.038390348,0.026050593,0.034619867,0.043531912,0.083293343,0.014739151,0.008912045,0.098032495,0.022280112,0.073010215,0.03222047,0,0.475766093,0.889490642,0.005141564,0.075409611,0.003084939,0.013368067,0.002399397,0,0.523411257,0.325632412,0.004222938,0.004072119,0.000253651,0.104202372,0.004113252,0.041475286,0.354425173,0.029135532,0
0.931933722,0.053034723,0.766313859,0.207630939,0.010985764,0.047844896,0.114176181,0.135200661,0.254490905,0.448332816,0.098720348,0.886248096,0.18933396,0.244035488,0.389312746,0.433369447,0.032426945,0.013296563,0.022615521,0.037730417,0.073453091,0.010947882,0.013258681,0.08784823,0.008030972,0.063679549,0.025987014,0,0.389312746,0.884997992,0.007197569,0.078339862,0.001515278,0.013145035,0,0.000113646,0.522202608,0.300479585,0.000481101,0.00044928,5.00E-05,0.025380903,0.00409125,0.041745903,0.416777156,0.032010243,0
0.971312926,0.017583827,0.897659913,0.089025038,0.002101212,0.053857383,0.141002389,0.135472883,0.248717155,0.420905954,0.012717863,0.97595771,0.214434221,0.224940281,0.354883659,0.439374502,0.025656905,0.007298947,0.012054322,0.026983987,0.059829249,0.003981244,0.008073078,0.109815978,0.013491993,0.062704592,0.024993365,0,0.354883659,0.968879943,0.002654163,0.015261435,0.000774131,0.001769442,0,0,0.545098646,0.249270105,0.001517296,0.001444307,0.000106167,0.048880828,0.001880032,0.057285676,0.410842254,0.031297001,0
0.966385883,0.022377444,0.858894235,0.125153845,0.004635328,0.047392229,0.121317712,0.134744178,0.222415805,0.473922286,0.016383485,0.972299922,0.259658264,0.221296933,0.339657625,0.480955197,0.02581398,0.008711219,0.013666224,0.025414382,0.062337164,0.006873072,0.008071864,0.090868405,0.012467433,0.057382159,0.028051724,0,0.339657625,0.930661893,0.000799194,0.05146812,0.001198792,0.005434522,0,0,0.529865895,0.290667008,0.001032559,0.00096223,0.00010869,0.059699823,0.001997986,0.050828765,0.381455493,0.031248502,0
0.947985811,0.044030539,0.780046689,0.209560442,0.002409218,0.064758123,0.139485424,0.136286979,0.302232265,0.357270439,0.110907112,0.881150776,0.216040408,0.232904936,0.338744382,0.448945344,0.018069136,0.010301485,0.016282992,0.031361374,0.072318083,0.008847646,0.014247618,0.093627203,0.004943051,0.045941298,0.022762958,0,0.338744382,0.876249263,0.005566125,0.0941672,0.001246147,0.014746077,0,0.000124615,0.565875502,0.221814224,0.000596489,0.000561597,4.90E-05,0.027747547,0.001744606,0.041621321,0.461448356,0.021433734,0
0.966530505,0.033601265,0.878903676,0.121228093,0,0.06720253,0.150876268,0.141652392,0.253656608,0.385426275,0.008565028,0.991566741,0.220055343,0.232573462,0.330741863,0.452628805,0.017788905,0.007247332,0.012518118,0.025036237,0.050731322,0.003294242,0.013176967,0.09092107,0.036236658,0.044801687,0.028330478,0,0.330741863,0.931611543,0.002635393,0.056660957,0,0.006588483,0,0,0.588351561,0.195019107,0.009909079,0.009566478,0.000461194,0.083673738,0.001317697,0.044801687,0.438134142,0.012518118,0
0.967932091,0.022400377,0.880688517,0.107679007,0.002357934,0.0467657,0.129686395,0.124184548,0.246011161,0.45468836,0.015719563,0.975005895,0.173308182,0.23343551,0.407136682,0.407136682,0.029081192,0.014933585,0.019256465,0.039691897,0.07230999,0.00864576,0.006287825,0.093924389,0.02122141,0.079383793,0.022793366,0,0.407136682,0.962823234,0,0.024758312,0,0.002750924,0,0,0.591841547,0.222431816,0.005706201,0.005423249,0.000392989,0.054232492,0.004715869,0.048730645,0.454295371,0.02122141,0
0.960927276,0.031781641,0.831931202,0.157973453,0.001869508,0.048607216,0.122452795,0.132735091,0.232753786,0.464572817,0.01121705,0.982426622,0.30566461,0.232753786,0.284165265,0.538418396,0.019629837,0.008412787,0.008412787,0.017760329,0.045802954,0.007478033,0.004673771,0.077584595,0.018695083,0.04954197,0.026173116,0,0.284165265,0.937558422,0,0.047672462,0.001869508,0.006543279,0,0,0.514114788,0.307534119,0.011684427,0.01117966,0.000822584,0.082258366,0.002804262,0.054215741,0.351467564,0.032716396,0
