Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,English,Between 5 and 6:59 a.m.,4 or more bedrooms,Spending less than 30% of household total income on shelter costs,Average income ($),After-tax income as a % of total income,Household total income in 2010 of private households,"$10,000 to $14,999",Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.320240674,0.007894103,0.002454874,0.217569194,0.125583634,0.529386282,0.109458484,0.086257521,0.312154031,0.340948255,0.00083562,0.417809868,0.012274368,0.654527076,0.000138628,1
0.276758654,0.01004945,0.004825331,0.231615888,0.1806907,0.549489552,0.100933163,0.086497049,0.30830276,0.285197001,0.000689105,0.413622587,0.013837933,0.559881959,0.000106078,1
0.294283698,0.005351682,0.001529052,0.226358504,0.126970125,0.572747589,0.126852505,0.103740296,0.290402258,0.511750176,0.000984474,0.372677017,0.004822395,1.084733004,8.23E-05,1
0.524426166,0.00216751,0.001278275,0.139220808,0.04790752,0.469349191,0.152614906,0.102928917,0.316678708,0.444295004,0.000945923,0.396709832,0.010504085,0.881431668,0.000111154,0
0.432473275,0.003078301,0.001511166,0.24452902,0.040745508,0.525997649,0.095987015,0.109643477,0.315441876,0.421525718,0.00096043,0.432529244,0.016622824,0.790104662,0.000158952,0
0.390847927,0.006966646,0.001336069,0.275516534,0.057641838,0.559144916,0.132700291,0.104070239,0.29923176,0.369260867,0.000813093,0.406308155,0.010354535,0.740048671,0.000106886,1
0.203659103,0.021464486,0.007267503,0.221109562,0.295094435,0.582287573,0.091139561,0.155533021,0.274770778,0.566459627,0.000638864,0.362361094,0.007056239,1.229416487,7.61E-05,1
0.212924899,0.026919507,0.007116651,0.19480175,0.326923927,0.593157406,0.106705565,0.142554038,0.256597268,0.519135393,0.000699288,0.331609424,0.004597091,1.126393493,6.45E-05,1
0.347011165,0.027127252,0.004554799,0.294288363,0.112499496,0.540287799,0.145431094,0.085009472,0.295416986,0.300141078,0.000693297,0.41110081,0.013341932,0.580249103,0.000118505,1
0.243462415,0.01690205,0.016719818,0.352072893,0.281548975,0.616993166,0.063963554,0.063872437,0.371799544,0.491480638,0.000734396,0.518132118,0.025330296,0.806068337,0.000145786,1
0.387184269,0.042083404,0.006229869,0.168079335,0.208594677,0.514790642,0.147525004,0.128072555,0.304458383,0.442702153,0.000695881,0.354763519,0.003644686,0.970444143,4.24E-05,1
0.227584202,0.032850201,0.015199967,0.19548154,0.410274513,0.520453507,0.087254454,0.091282861,0.301382948,0.374218198,0.000685244,0.406495286,0.012832759,0.725603223,0.000147016,0
0.319303812,0.039382203,0.008632355,0.225047828,0.314264383,0.47393962,0.08935654,0.066492464,0.339088237,0.418636555,0.000771779,0.483551864,0.023330689,0.72023704,0.000183846,1
0.235673451,0.023142008,0.019071576,0.239469472,0.344523211,0.535513378,0.091013035,0.092339355,0.322890464,0.399515207,0.000765607,0.440750057,0.013583352,0.738321518,0.000152756,1
0.343991025,0.00603001,0.00252419,0.271490675,0.1055018,0.575468611,0.150563268,0.097882485,0.299163278,0.357593605,0.000801197,0.397372972,0.009535829,0.702930865,0.000106577,1
0.165902439,0.028487805,0.042195122,0.341170732,0.425268293,0.603463415,0.070926829,0.058829268,0.305609756,0.489287805,0.00078439,0.471707317,0.024439024,0.842819512,0.000174634,1
0.338798123,0.004805246,0.001695969,0.312058341,0.05167053,0.561705014,0.099214201,0.102945333,0.322969077,0.401876873,0.000974617,0.431624173,0.011476059,0.779784047,0.000144723,0
0.338604515,0.003405995,0.001848968,0.198326197,0.135801868,0.585101207,0.134634099,0.098530557,0.286979369,0.363760218,0.000840794,0.388478007,0.009050214,0.729768392,0.000103153,1
0.372032131,0.006923179,0.003861004,0.288377047,0.065637066,0.531975325,0.09559313,0.104602139,0.30808148,0.326738561,0.00076155,0.428837705,0.012071184,0.62134647,0.000131363,0
0.241519361,0.091706281,0.002907648,0.239719389,0.210550607,0.59588314,0.147505423,0.140443993,0.256842202,0.445008538,0.000752296,0.338533253,0.004199935,1.021230443,7.66E-05,0
0.33266513,0.003457953,0.001653804,0.195549764,0.051618723,0.556930941,0.14468277,0.106194247,0.337175504,0.371985567,0.000866994,0.42432595,0.01503458,0.706394708,0.00011727,1
0.084620364,0.018080089,0.030148895,0.289003977,0.662397115,0.541662813,0.063904559,0.136271155,0.232035513,0.407435494,0.000759271,0.346342366,0.008184593,0.941931009,0.000134098,1
